2019-11-27 21:34:32,591 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@29ee9faa: startup date [Wed Nov 27 21:34:32 BRT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-11-27 21:34:34,223 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\allan\OneDrive\Área de Trabalho\Nova pasta\apache-activemq-5.15.10\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-11-27 21:34:34,897 | INFO  | PListStore:[C:\Users\allan\OneDrive\Área de Trabalho\Nova pasta\apache-activemq-5.15.10\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-11-27 21:34:35,053 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:Allan-62110-1574901274913-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-11-27 21:34:35,085 | INFO  | Listening for connections at: tcp://Allan:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-27 21:34:35,085 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-11-27 21:34:35,093 | INFO  | Listening for connections at: amqp://Allan:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-27 21:34:35,097 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-11-27 21:34:35,105 | INFO  | Listening for connections at: stomp://Allan:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-27 21:34:35,105 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-11-27 21:34:35,113 | INFO  | Listening for connections at: mqtt://Allan:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-27 21:34:35,113 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-11-27 21:34:35,125 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2019-11-27 21:34:35,465 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2019-11-27 21:34:35,705 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@265adfad{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-11-27 21:34:35,849 | INFO  | Listening for connections at ws://Allan:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-11-27 21:34:35,853 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-11-27 21:34:35,857 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:Allan-62110-1574901274913-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-11-27 21:34:35,861 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-11-27 21:34:37,804 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-11-27 21:34:37,804 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
